No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	2	53	BAT1,BAT2	BAT-SMD_KEYSTONE-53		53	Keystone	C5352788	LCSC
2	1	4.7uF	C100	C0402	4.7uF	CL05A475MP5NRNC	SAMSUNG(三星)	C23733	LCSC
3	1	100pF	C101	C0402	100pF	CL05C101JB5NNNC	SAMSUNG(三星)	C26409	LCSC
4	3	1uF	C102,C103,C106	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
5	1	1nF	C104	C0402	1nF	CL05B102KB5NNNC	SAMSUNG(三星)	C14442	LCSC
6	3	10uF	C105,C109,C112	C0402	10uF	CL05A106MQ5NUNC	SAMSUNG(三星)	C15525	LCSC
7	2	100nF	C108,C115	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
8	2	12pF	C110,C111	C0402	12pF	GRM1555C1H120JA01D	muRata(村田)	C76948	LCSC
9	2	10nF	C113,C114	C0402	10nF	CL05B103KB5NNNC	SAMSUNG(三星)	C15195	LCSC
10	1	TYPE-C-F02C-1BBWC1.6	CN100	USB-C-SMD_TYPE-C-F02C-1BBWC1.6		TYPE-C-F02C-1BBWC1.6	XYECONN(辛译)	C20883026	LCSC
11	1	5051100692	CN101	CONN-SMD_6P-P0.50_5051100692		5051100692	MOLEX	C779386	LCSC
12	47	1N4148WS	D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D300,D301,D302,D303,D304,D305,D307,D308,D309,D310,D311	SOD-323_L1.8-W1.3-LS2.5-RD		1N4148WS	CJ(江苏长电/长晶)	C2128	LCSC
13	2	CUS08F30,H3F	D500,D501	SOD-323F_L2.0-W1.6-LS2.5-RD		CUS08F30,H3F	TOSHIBA(东芝)	C150183	LCSC
14	1	USBLC6-2SC6	D502	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	UMW(友台半导体)	C2687116	LCSC
15	1	2920L050/72V	F101	F2920		2920L050/72V	YTL(亚特联)	C49318481	LCSC
16	1	4.7uH	L100	IND-SMD_L3.0-W3.0-1	4.7uH	ANR3015T4R7M	APV(爱普微)	C7427089	LCSC
17	1	LED_filament_38mm	LED100	LED_filament_38mm					
18	1	LTST-C193TBKT-5A	LED101	LED0603-RD		LTST-C193TBKT-5A	LITEON(光宝)	C125103	LCSC
19	3	TH1620CTJ	NT1,NT2,NT3	SMD_BD4.0-D2.5		TH1620CTJ	Sinhoo(雄和远景)	C3020123	LCSC
20	3	DO2301E-Q	Q100,Q101,Q102	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		DO2301E-Q	DOINGTER(杜因特)	C41384537	LCSC
21	2	100kΩ	R100,R104	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
22	5	1kΩ	R101,R144,R145,R150,R151	R0402	1kΩ	0402WGF1001TCE	UNI-ROYAL(厚声)	C11702	LCSC
23	1	680kΩ	R102	R0402	680kΩ	0402WGF6803TCE	UNI-ROYAL(厚声)	C4131	LCSC
24	1	360kΩ	R103	R0402	360kΩ	0402WGF3603TCE	UNI-ROYAL(厚声)	C45956	LCSC
25	1	300kΩ	R105	R0402	300kΩ	0402WGF3003TCE	UNI-ROYAL(厚声)	C25774	LCSC
26	1	240kΩ	R106	R0402	240kΩ	0402WGF2403TCE	UNI-ROYAL(厚声)	C64043	LCSC
27	1	150Ω	R107	R0402	150Ω	0402WGF1500TCE	UNI-ROYAL(厚声)	C25082	LCSC
28	5	10kΩ	R108,R109,R112,R113,R146	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
29	2	5.1kΩ	R110,R111	R0402	5.1kΩ	0402WGF5101TCE	UNI-ROYAL(厚声)	C25905	LCSC
30	1	XX	R114	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
31	2	27Ω	R148,R149	R0402	27Ω	0402WGF270JTCE	UNI-ROYAL(厚声)	C25100	LCSC
32	4	CPG135001S30	SW000,SW100,SW200,SW300	dtd_Kailh_Choc_V2_ShortEdge_footprint		CPG135001S30	Kailh	C5333465	LCSC
33	42	CPG135001S30	SW001,SW002,SW003,SW004,SW005,SW006,SW007,SW008,SW009,SW010,SW011,SW101,SW102,SW103,SW104,SW105,SW106,SW107,SW108,SW109,SW110,SW111,SW201,SW202,SW203,SW204,SW205,SW206,SW207,SW208,SW209,SW210,SW211,SW301,SW302,SW303,SW304,SW307,SW308,SW309,SW310,SW311	dtd_Kailh_Choc_V2_footprint		CPG135001S30	Kailh	C5333465	LCSC
34	1	EC12E2440301	SW305	dtd_EC12E_and_chocV2_footprint		EC12E2440301	ALPSALPINE(阿尔卑斯阿尔派)	C470767	LCSC
35	1	MSK12C02-HB	SW500	SW-TH_MSK12C02-HB-1		MSK12C02-HB	SHOU HAN(首韩)	C431541	LCSC
36	1	TS-1088-AR02016	SW990	SW-SMD_L3.9-W3.0-P4.45		TS-1088-AR02016	XUNPU(讯普)	C720477	LCSC
37	1	SSP7615-33M5R	U100	SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR		SSP7615-33M5R	Siproin(上海矽朋)	C3011519	LCSC
38	1	MCP1640T-I/CHY	U101	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR		MCP1640T-I/CHY	MICROCHIP(美国微芯)	C44365	LCSC
39	1	TPS25200DRVR	U103	WSON-6_L2.0-W2.0-P0.65-TL-EP		TPS25200DRVR	TI(德州仪器)	C128401	LCSC
40	2	DO2302E-Q	U104,U105	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		DO2302E-Q	DOINGTER(杜因特)	C41384540	LCSC
41	1	MDBT50Q-1MV2	U106	COMM-SMD_MDBT50Q-1MV2-1		MDBT50Q-1MV2	RAYTAC	C5118826	LCSC
42	1	32.768kHz	X100	OSC-SMD_L3.2-W1.5	32.768kHz	Q13FC13500003	EPSON(爱普生)	C99010	LCSC
43	1	dotting_dots_logo_5x8mm	XX1	dotting_dots_logo_5x8mm					
